policy,path_id,implementation_shortfall_bps,completion_error,max_constraint_violation
twap,560,-13.347647861360674,0.0,0.0
twap,561,14.370093013567152,0.0,0.0
twap,562,-11.807943378894176,0.0,0.0
twap,563,13.091086737241815,0.0,0.0
twap,564,-13.143574090265986,0.0,0.0
twap,565,-7.160091759231362,0.0,0.0
twap,566,37.446729738260466,0.0,0.0
twap,567,-16.147032295214835,0.0,0.0
twap,568,-1.9724233123493855,0.0,0.0
twap,569,-18.74177440766828,0.0,0.0
twap,570,7.4746387576196645,0.0,0.0
twap,571,-14.087926421020072,0.0,0.0
twap,572,18.04733856740559,0.0,0.0
twap,573,21.542520062971153,0.0,0.0
twap,574,-0.1612900673010087,0.0,0.0
twap,575,10.511408532224378,0.0,0.0
twap,576,-7.685021280528641,0.0,0.0
twap,577,-40.708647962126534,0.0,0.0
twap,578,12.245802257295988,0.0,0.0
twap,579,0.662945777876514,0.0,0.0
twap,580,-1.7170670187148314,0.0,0.0
twap,581,7.951315012007575,0.0,0.0
twap,582,-0.8521218388113054,0.0,0.0
twap,583,19.665320696817812,0.0,0.0
twap,584,29.539415504636114,0.0,0.0
twap,585,24.492390563852158,0.0,0.0
twap,586,7.845368696372673,0.0,0.0
twap,587,-19.44304554153473,0.0,0.0
twap,588,1.1399309618384903,0.0,0.0
twap,589,4.575264795168591,0.0,0.0
twap,590,24.266347343638316,0.0,0.0
twap,591,10.336206393360065,0.0,0.0
twap,592,-4.575626799090041,0.0,0.0
twap,593,15.565411974383608,0.0,0.0
twap,594,-1.271903493709326,0.0,0.0
twap,595,22.42089408198205,0.0,0.0
twap,596,0.0347908163841058,0.0,0.0
twap,597,-4.718775745197516,0.0,0.0
twap,598,-8.447965092665314,0.0,0.0
twap,599,-18.075363202708044,0.0,0.0
twap,600,-8.391496777713677,0.0,0.0
twap,601,-27.583685762658654,0.0,0.0
twap,602,-5.183854297710906,0.0,0.0
twap,603,9.677465958482857,0.0,0.0
twap,604,2.7493054348862827,0.0,0.0
twap,605,-12.085809212396242,0.0,0.0
twap,606,-16.44824586998913,0.0,0.0
twap,607,16.76337963673326,0.0,0.0
twap,608,24.083660170236836,0.0,0.0
twap,609,-6.557735101261806,0.0,0.0
twap,610,24.161793775641673,0.0,0.0
twap,611,-32.83778964459081,0.0,0.0
twap,612,10.138888593634412,0.0,0.0
twap,613,-15.592285201889482,0.0,0.0
twap,614,6.9683928526605525,0.0,0.0
twap,615,6.094903222323142,0.0,0.0
twap,616,13.761725814019123,0.0,0.0
twap,617,8.104260852225819,0.0,0.0
twap,618,17.25288071303864,0.0,0.0
twap,619,14.835962342778553,0.0,0.0
twap,620,4.617446293514371,0.0,0.0
twap,621,2.573428646135299,0.0,0.0
twap,622,-3.9533176389479627,0.0,0.0
twap,623,-1.3476609285299428,0.0,0.0
twap,624,-18.833193413706265,0.0,0.0
twap,625,-20.357585873894685,0.0,0.0
twap,626,3.8717711313307355,0.0,0.0
twap,627,11.40578835666474,0.0,0.0
twap,628,-6.810419714088171,0.0,0.0
twap,629,4.705118195122183,0.0,0.0
twap,630,4.212552478067612,0.0,0.0
twap,631,-12.112665387606873,0.0,0.0
twap,632,-1.652483284791015,0.0,0.0
twap,633,1.1756089324170147,0.0,0.0
twap,634,8.741804120092757,0.0,0.0
twap,635,-5.327484875886957,0.0,0.0
